Joan Jett & the Blackhearts,I Love Rock 'n Roll,1,Guitar Hero 1
Ramones,I Wanna Be Sedated,1,Guitar Hero 1
Bad Religion,Infected,1,Guitar Hero 1
Deep Purple,Smoke on the Water,1,Guitar Hero 1
White Zombie,Thunder Kiss '65,1,Guitar Hero 1
Black Sabbath,Iron Man,2,Guitar Hero 1
Boston,More Than a Feeling,2,Guitar Hero 1
ZZ Top,Sharp Dressed Man,2,Guitar Hero 1
Franz Ferdinand,Take Me Out,2,Guitar Hero 1
Judas Priest,You've Got Another Thing Comin',2,Guitar Hero 1
Burning Brides,Heart Full of Black,3,Guitar Hero 1
The Exies,Hey You,3,Guitar Hero 1
Queen,Killer Queen,3,Guitar Hero 1
Incubus,Stellar,3,Guitar Hero 1
Megadeth,Symphony of Destruction,3,Guitar Hero 1
Audioslave,Cochise,4,Guitar Hero 1
Sum 41,Fat Lip,4,Guitar Hero 1
The Donnas,Take it Off,4,Guitar Hero 1
Helmet,Unsung,4,Guitar Hero 1
David Bowie,Ziggy Stardust,4,Guitar Hero 1
Motörhead,Ace of Spades,5,Guitar Hero 1
Cream,Crossroads,5,Guitar Hero 1
Red Hot Chili Peppers,Higher Ground,5,Guitar Hero 1
Queens of the Stone Age,No One Knows,5,Guitar Hero 1
The Jimi Hendrix Experience,Spanish Castle Magic,5,Guitar Hero 1
Ozzy Osbourne,Bark at the Moon,6,Guitar Hero 1
Pantera,Cowboys from Hell,6,Guitar Hero 1
The Edgar Winter Group,Frankenstein,6,Guitar Hero 1
Blue Öyster Cult,Godzilla,6,Guitar Hero 1
Stevie Ray Vaughan,Texas Flood,6,Guitar Hero 1
Danzig,Mothera,1,Guitar Hero 2
Mötley Crüe,Shout at the Devil,1,Guitar Hero 2
Cheap Trick,Surrender,1,Guitar Hero 2
Spinal Tap,Tonight I'm Gonna Rock You Tonighta,1,Guitar Hero 2
Wolfmother,Woman,1,Guitar Hero 2
Kansas,Carry On Wayward Son,2,Guitar Hero 2
Nirvana,Heart-Shaped Box,2,Guitar Hero 2
The Police,Message in a Bottle,2,Guitar Hero 2
Kiss,Struttera,2,Guitar Hero 2
Van Halen,You Really Got Me,2,Guitar Hero 2
Foo Fighters,Monkey Wrench,3,Guitar Hero 2
Iggy Pop and the Stooges,Search and Destroy,3,Guitar Hero 2
The Pretenders,Tattooed Love Boys,3,Guitar Hero 2
Alice in Chains,Them Bones,3,Guitar Hero 2
Black Sabbath,War Pigs,3,Guitar Hero 2
The Rolling Stones,Can't You Hear Me Knockin'a,4,Guitar Hero 2
Warrant,Cherry Pie,4,Guitar Hero 2
Matthew Sweet,Girlfriend,4,Guitar Hero 2
Guns N' Roses,Sweet Child o' Mine,4,Guitar Hero 2
